word,tf,df,tfidf
leaf,3333,418,9784.308158689042
stroke,3366,432,9770.292468742538
recall,6407,1716,9759.886628689552
question,5960,1531,9758.850616723457
grid,6350,1703,9721.346813740696
depth-map,3376,444,9706.819950388344
bayesian,6310,1703,9660.10998341792
cascade,5045,1161,9656.283655737529
recovery,4967,1131,9637.022884313517
quantization,4486,919,9634.94698526454
cifar10,3052,336,9625.874562802637
sentence,3135,367,9610.987026774023
partition,5969,1580,9585.541369572418
cloud,3619,563,9546.154086533892
vgg16,3979,721,9511.51421145817
audio,3788,644,9482.760683433862
calibration,3802,655,9453.415236174176
cue,5103,1242,9423.144566345909
image-retrieval,4237,855,9405.99581402281
crf,3918,717,9387.495081483014
endtoend,6518,1867,9379.267046050809
pipeline,6176,1725,9375.693634830703
minutiae,1983,70,9364.860666021854
domain-adaptation,3213,433,9318.759360574202
language,4960,1204,9313.207551802083
cardiac,2957,338,9308.699703387501
initialization,6321,1819,9260.424669812486
viewpoint,4760,1132,9231.192616652253
resnet,4202,880,9207.193522353835
annotated,6377,1860,9200.325380502421
kmeans,3954,776,9161.081587942233
synthesize,4066,828,9156.85272015421
spectrum,4450,1006,9155.118891922202
mnist,3236,465,9154.741187256357
comput,5311,1406,9148.534038745816
clinical,4551,1056,9142.157907794232
handwritten,3404,538,9133.643022653318
variational,4191,892,9126.327074083369
caption,2835,316,9115.447013286577
hyperspectral,2928,353,9090.266989906864
dropout,4696,1143,9061.663519105461
classification-accuracy,5069,1318,9059.300192281387
minimization,5612,1584,8998.049957999516
gmm,3089,429,8987.78689567478
movement,4810,1218,8975.950574123408
liver,2565,239,8963.658969643484
mlp,2988,400,8903.053440172833
verification,4122,909,8898.253504254106
tag,3285,531,8857.363296455145
training-sample,5569,1605,8855.759217242443
conditional,4683,1189,8851.804455379443
false-positive,5075,1381,8833.059248013196
face-detection,3639,695,8832.419203535794
device,5543,1600,8831.709184584874
saliency-detection,2607,266,8831.397935780667
pretrained,6023,1818,8827.159212739869
generative-adversarial,3742,745,8822.450610559166
neighborhood,5510,1595,8796.375713557425
interpolation,4952,1341,8764.527742590433
dcnn,2638,286,8745.16950643248
gender,3022,437,8737.0076842695
uncertainty,4307,1040,8717.761860491863
expert,5546,1637,8709.698293107853
surveillance,4668,1222,8695.659159734561
fuse,5388,1574,8673.020548558545
triplet,3006,440,8670.183891730267
geometry,5572,1663,8662.726882552208
sign,5797,1767,8660.885918292643
stack,5971,1854,8633.86712155215
labeling,4742,1284,8598.820128154512
mode,4918,1377,8574.06549493689
gait,2143,145,8559.857111195577
simulation,4801,1328,8544.042559848105
median,4194,1028,8537.71318745501
denoise,3609,745,8508.87874225228
diagnosis,4163,1021,8503.050810422184
miss,6076,1944,8497.67762075232
entry,4752,1318,8492.758830878114
human-pose,2992,462,8483.823622569847
fitting,4738,1318,8467.738076746738
objective-function,5347,1619,8456.299134586166
gallery,2641,321,8450.213099505076
hyperspectral-image,2662,331,8435.742406651081
rmse,2749,367,8427.6246687725
admm,2468,259,8426.342782516338
driver,2599,308,8423.27493731638
moment,3992,956,8416.371626517306
agent,2808,393,8416.299977830822
mobile,4566,1252,8394.91010437096
axis,5383,1660,8378.610202384616
assessment,5277,1610,8375.010504436645
knn,3144,552,8355.240969878501
normalization,5916,1918,8353.564648335985
psnr-ssim,2538,293,8352.291077816726
building,5443,1701,8339.197691608086
connection,5775,1863,8322.491493453643
boost,5932,1940,8308.502675354413
reflectance,2725,374,8302.561722590344
compress,3975,975,8302.304121743613
iccv,5562,1772,8294.072796688004
image-quality,4170,1078,8290.813545887322
gesture,2776,401,8264.446287717245
configuration,5643,1823,8254.742151253484
traffic,3069,540,8223.380280164298
raw,5808,1911,8222.30135200847
count,5533,1782,8219.691071270485
answer,3623,817,8207.64688984857
imagery,3888,954,8205.249847199426
corner,4437,1246,8179.049281649874
merge,4884,1476,8175.700901564044
manual,5258,1663,8174.554549256912
drive,5177,1626,8165.1082224281745
src,2064,152,8146.993798516318
supervised,5431,1757,8144.894327809853
script,2674,375,8140.034137724728
derivative,4597,1350,8105.465186876328
anchor,2854,462,8092.5242709941
class-files,2129,176,8091.442151624393
colour,3495,778,8088.621496365174
retinal,2350,256,8050.8414864934375
int,4841,1493,8048.281788014825
enhancement,4153,1137,8035.718378508391
likelihood,4843,1498,8035.4149131538
softmax,4936,1550,8021.282481449583
stride,4630,1397,8005.200917969841
journal-tex,2181,201,7999.390079397843
segmented,5037,1610,7994.111789055785
gate,3463,784,7987.958102855762
offline,3545,831,7970.711447542692
align,5475,1847,7937.378285467351
transition,3857,1006,7935.122149695266
policy,2791,460,7925.996089353816
consistency,4790,1505,7925.147262820252
structural,5543,1887,7917.199340914098
dice,2658,401,7913.1477783690325
finegrained,3516,830,7909.740350602123
visible,4901,1574,7889.100539807985
propagation,4837,1545,7876.030262348978
protocol,4641,1444,7870.649248575314
recurrent,3763,973,7867.241470682914
partial,5266,1770,7858.623540922754
nonlocal,2958,554,7850.244340371055
recognition-rate,2937,548,7826.494549789825
test-image,5068,1682,7821.589335673525
static,4219,1233,7821.443506160316
ieee-conf,2949,558,7805.143296758445
metric-learning,2724,449,7801.657356896311
optical,4454,1368,7794.33226480789
functional,3738,979,7791.994806201503
mae,2292,263,7790.309527822512
hsi,1950,147,7762.237961309038
lda,2643,418,7758.753814405982
feature-selection,3330,766,7758.517945741688
exp,4807,1568,7756.148520209086
removal,4098,1187,7752.9367148136835
bin,3742,994,7743.4337284265775
medical,4671,1508,7718.957774956923
pruning,2569,391,7713.0625285003325
fmeasure,2427,329,7705.748512695223
pyramid,3778,1027,7694.540124419741
record,5387,1891,7682.973715586655
breast,2394,320,7667.374984394331
cnn-model,3651,968,7651.894868164076
gabor,2852,541,7636.652551993754
singular,3191,721,7627.856709917824
profile,3536,911,7625.470778645455
object-proposal,2359,313,7607.454761484777
disparity,2322,300,7586.635686584212
tracklet,1757,106,7568.50300149738
perturbation,2725,491,7560.848522304875
human-action,2756,507,7558.485535248336
inlier,2040,194,7554.546930524273
appendix,3345,823,7553.382091294041
affine,3147,716,7544.577744264733
eigenvalue,3301,801,7543.466628981973
acquisition,4558,1512,7520.147944122322
light-field,1655,85,7494.528781610134
bag,3399,868,7494.372586119842
single-image,4372,1418,7493.891006730152
data-set,3937,1174,7491.699340760515
laplacian,3460,908,7472.987788052555
participant,2794,550,7435.250754452571
social,3268,815,7411.429635705329
shadow,2998,667,7399.895623663764
correction,3579,996,7398.938928326871
dual,3524,965,7396.662224973296
supervision,3500,952,7393.758413792534
mixture,3729,1085,7389.879272212827
circle,3848,1154,7388.460111923243
image-denoising,2853,591,7387.134305043053
defect,2211,280,7376.5102944294385
remote-sensing,2802,566,7376.190356201995
draft,1855,148,7371.501331015593
jpeg,2371,352,7367.731379890695
posterior,3289,840,7359.6819837367675
speech,2975,664,7356.536235535575
propose-algorithm,4456,1511,7354.808363102863
eccv,4382,1471,7350.234104848517
display,4885,1749,7348.349002740385
feature-space,4263,1414,7319.100331870761
magnitude,5112,1889,7296.1764881307245
simulated,3343,888,7294.745910858551
interval,4460,1538,7282.418627452591
deconvolution,2998,694,7280.9292437194035
width,5218,1952,7276.280131238731
active,4878,1772,7274.089734312133
dsc,1861,158,7273.667147017233
forest,3152,784,7270.58733473906
processing-vol,4290,1447,7266.486564911598
retrieve,3777,1154,7252.134574515096
render,3489,985,7251.627607686842
multilabel,2565,466,7250.951828815528
probe,2668,520,7249.592657253853
urban,3210,825,7240.74580819568
color-image,4031,1309,7231.810200146247
thresholding,3852,1207,7223.171086328317
eigenvector,2865,635,7212.472590139874
connect-layer,4443,1556,7202.963760134243
probabilistic,4909,1819,7191.809002390364
fully-convolutional,4084,1358,7176.8096494253205
bound,3928,1269,7168.925910157533
ssim,2499,449,7157.247332923598
subspace-clustering,1828,157,7156.293945825552
food,2142,279,7153.97081710277
water,2969,708,7151.20271141892
font,2220,315,7145.058455792333
virtual,3202,849,7130.880424251216
scene-text,1707,121,7127.19765658204
false,3976,1311,7127.067292954317
structured,4381,1550,7119.375719455151
perception,4079,1375,7117.277530387553
noise-level,2705,567,7116.0655051867325
visual-tracking,2322,368,7112.250010307654
hog,3035,756,7111.084099847009
height,4595,1675,7110.757879603078
hybrid,4106,1395,7105.095258821016
faster-rcnn,2711,576,7089.155958256132
eqn,2113,275,7087.62816867144
nearest-neighbor,3765,1199,7085.068428147725
sensitivity,3936,1304,7076.438740422253
topic,4508,1639,7074.070176827075
polyp,1402,51,7065.017012022884
unmixing,1711,127,7061.092282739955
video-sequence,3438,1010,7059.457967747145
finetuning,3338,950,7058.553005910984
optimization-problem,4134,1435,7036.676981765613
convolution-layer,3489,1048,7035.319294166495
time-series,2454,453,7006.600218713182
clean,3104,825,7001.643298641555
sparse-code,2591,528,7000.8072626719195
dynamics,3198,883,6996.399677533757
unknown,4857,1866,6991.724633426554
datum-augmentation,3778,1237,6991.653944631014
gray,4526,1690,6963.629513068556
hassan-foroosh,1184,22,6961.949582682548
refinement,3209,902,6952.147416010314
security,3420,1031,6952.117705125742
hmm,2235,351,6951.47851612001
image-patch,3750,1234,6948.9421285003355
image-registration,2501,490,6944.43178111617
error-rate,2938,743,6934.771155614102
displacement,2891,719,6918.758780202925
arg-min,3357,1003,6916.4829966354055
radius,3350,1004,6898.722463909389
uniform,4905,1934,6885.255246135957
receptive-field,3208,921,6883.108547145519
subnetwork,2178,336,6869.316775158632
edge-detection,2894,734,6866.184038880258
cost-function,3217,932,6864.224285557584
percentage,4589,1765,6861.295982914572
digit,2734,643,6848.45870142788
batch,3696,1235,6845.883437020363
walk,2926,760,6840.253589951711
article,3356,1026,6838.334650032613
dictionary-learning,2569,550,6836.492193338817
nucleus,1883,209,6832.904590682785
transfer-learning,2954,779,6832.768584512402
generic,4415,1675,6832.208060597953
kitti,1814,183,6823.508452605673
qualitative,4356,1648,6811.6938163122
item,2623,587,6809.419789385172
hidden,3313,1009,6806.069562087906
local-feature,3361,1042,6796.51409738351
indoor,2886,748,6792.675633746469
deformable,3112,888,6790.681805142629
rain,1657,131,6786.856781434763
rcnn,2356,442,6784.708803477745
guide,4783,1906,6783.754510659317
network-architecture,4824,1931,6779.042530008445
mechanism,4501,1746,6778.437145198771
support-vector,4626,1821,6772.12333675473
coarse,3338,1037,6766.060009417552
runtime,2814,711,6765.96755512578
velocity,2417,480,6761.028986284479
infer,4401,1694,6760.902299051915
cross,4134,1536,6755.495590451167
adaptation,3322,1035,6740.041455134364
reid,2317,430,6736.172927013063
perceptual,2862,749,6732.364038824957
natural-image,3917,1413,6727.827668538299
thermal,1941,246,6726.993387334269
visual-feature,2845,741,6722.925084225427
absolute,4584,1817,6720.718697619849
plant,2275,411,6716.8788601365695
egocentric,1658,138,6704.643203427158
capsule,1491,88,6700.152360762539
hierarchy,3310,1041,6696.561525087669
correlation-filter,1699,153,6695.129549960072
video-frame,2944,811,6691.121388311495
color-space,2646,628,6690.483162410255
construction,4429,1740,6685.252389052646
kinect,2199,377,6682.370130573689
atlas,2100,327,6680.325262453156
stimulus,2123,340,6670.724626241757
precision-recall,2941,815,6669.833096269697
realworld,4251,1640,6668.186267051756
model-train,4499,1789,6665.9674431499425
vgg,2885,781,6665.770253454583
penalty,3322,1060,6660.753681901494
lfw,1783,188,6658.837223533516
lidar,1878,228,6651.353558762424
acc,2361,471,6649.070262873701
hidden-layer,2945,824,6646.561396482608
biomedical,4177,1604,6644.820263326615
nonrigid,2455,526,6642.656084816202
hyperparameter,3599,1245,6637.19169076998
august,2795,735,6627.495445956312
estimator,2780,727,6622.351872132025
adaboost,2187,382,6617.089617484499
activation-function,3463,1166,6613.40562771838
jointly,4579,1859,6608.749132177745
soft,3948,1480,6598.1742441530705
resnet50,2131,356,6597.867324492406
medical-imaging,3430,1157,6576.962270576756
svd,2364,489,6568.858500044062
web,3196,1012,6556.221950075434
centroid,2664,672,6555.595437628616
training-image,4327,1731,6553.729947146293
hardware,3270,1062,6550.327434761771
stochastic,4420,1789,6548.916670087297
robotic,3117,963,6548.860721953165
salient,2912,831,6547.450418968779
principal-component,3421,1162,6544.952864016516
divergence,2785,751,6543.808076705754
mach,3346,1115,6539.615647687514
supervise,3941,1505,6520.4604097650545
transaction-image,4060,1580,6519.902489606972
orthogonal,3430,1179,6512.354196007885
diagonal,3759,1394,6507.33589142028
object-recognition,4220,1686,6502.822926718618
augmentation,2857,811,6493.387841849844
codebook,2057,336,6487.6880654275965
gap,4373,1787,6484.170367783248
microexpression,1157,29,6483.563751318677
intermediate,3781,1418,6480.878750330903
variability,3560,1277,6474.922954410398
embed,4025,1579,6466.2447085177
med,2674,703,6459.610002467889
array,3118,992,6458.4516254524215
dimensionality,3910,1512,6451.02642859111
multispectral,2192,415,6450.593309355049
dct,2144,389,6448.054475923651
link,3525,1267,6438.9774108986
register,2710,733,6433.3279068511365
india,2884,847,6429.493689926821
curvature,2361,517,6429.060996132062
generative,3043,952,6428.344815191624
smoothing,3044,953,6427.261516777089
june,3962,1555,6425.716665138508
symbol,2618,678,6419.126954772654
multiclass,3284,1115,6418.439266887566
depth-image,2200,428,6406.2773349306435
inverse,3985,1579,6401.983891538643
deep-feature,2909,872,6400.608745120427
inception,2392,542,6400.517038003523
aggregation,2778,788,6393.759651172556
inpainting,2080,365,6388.0337771111635
highlevel,3756,1441,6377.593509303522
remote-sens,1714,191,6374.012934314877
shen,4566,1950,6371.774406237839
finger,1870,261,6370.24294873557
representative,4448,1884,6360.261847034034
propose-model,3548,1311,6359.867896227846
mass,2578,673,6340.1323972272185
store,4215,1752,6333.2658148986975
compact,3853,1522,6331.5844268961955
symmetric,3442,1251,6331.107851088744
jest,764,2,6324.331077243517
peak,3456,1264,6321.130666071391
wavelet-transform,2435,589,6313.081456121024
hash-code,1410,91,6288.893184423488
euclidean,2896,900,6280.476067980927
automate,4036,1661,6279.581440323454
margin,3406,1246,6278.530956344257
abundance,1707,199,6277.940782110968
heatmap,1846,263,6274.394148499284
bind,3096,1040,6266.587118663294
aerial,2082,389,6261.590214026605
mining,3667,1428,6259.705763817997
lrr,1360,79,6258.202637320493
proposition,2001,345,6258.17356642316
satisfy,4396,1898,6253.360376235502
concatenate,4487,1958,6243.160718384011
googlenet,2268,502,6242.595879583537
image-fusion,1706,203,6240.311650231656
nmf,1525,132,6234.604912122221
cut,2958,957,6233.287051851682
lane,1722,213,6216.033020145028
refine,3725,1484,6215.427030892744
spot,2498,658,6199.692543502117
inside,4199,1799,6198.0649788777555
bow,1927,316,6195.931708854757
ssd,1951,329,6194.443901223066
generative-model,2579,714,6190.07576461627
blind,2483,652,6185.209803107899
background-subtraction,1860,286,6166.04066791676
intrinsic,3212,1158,6156.1763112844665
marker,2193,476,6152.789538809968
horizontal,3888,1619,6148.885549891718
association,3513,1370,6142.485488143544
polynomial,2603,744,6140.54572934909
regularize,3606,1434,6140.45696976652
leverage,3944,1661,6136.439346044525
guarantee,4211,1834,6134.638641490925
recurrent-neural,3039,1048,6127.926435933499
quadratic,2911,962,6119.076248261241
covariance-matrix,2673,798,6118.3869827475355
shot,2562,723,6117.180350860858
dog,2382,606,6107.894512242729
ocr,1736,234,6103.3356173779375
contextual,2610,764,6087.824085366135
separation,2983,1023,6087.028282904121
force,3609,1460,6080.716488023213
logo,1388,99,6073.81525297333
target-domain,1752,246,6071.969301705121
access,4255,1891,6068.508104663303
weak,3180,1168,6067.501295593656
pascal-voc,2103,441,6060.8934505888665
graphic,3908,1672,6054.6317490017245
completion,2138,466,6043.873298248576
network-train,4075,1788,6040.024018219417
covariance,2607,779,6030.138016189517
random-forest,2605,779,6025.511903403794
grasp,1630,196,6019.513030587563
upsampling,2439,669,6012.826160414817
return,4231,1901,6011.963699206925
encoding,2816,931,6011.6197826573425
speckle,1663,212,6010.882175831908
semisupervised,2492,707,6005.8116379061075
intelligence-vol,3332,1299,6003.322450308884
validation-set,3175,1189,6001.383545981152
mrf,2095,449,6000.173334323705
zheng,3655,1528,5991.833274215554
platform,3008,1078,5980.519699287546
coco,2020,408,5978.796533942414
physical,3565,1474,5972.559884728708
corr,2624,809,5970.30460087152
person-reid,1268,71,5970.235428223901
seconds,3595,1498,5964.756682384454
unseen-class,1223,60,5964.232077971716
cycle,2353,627,5953.3744732273435
symmetry,2349,627,5943.253989634947
oct,3657,1550,5942.834285790342
triangle,2169,511,5931.559633458067
numerical,3495,1443,5929.574640453974
move-object,2169,512,5927.31916289921
diversity,2890,1013,5925.644250657044
chinese,2641,835,5925.441920360339
situation,4241,1950,5918.242500406192
smoothness,2747,915,5911.937846885193
game,2225,553,5908.953497791704
assess,4007,1802,5907.9809072591715
multitask,2462,715,5905.808414045757
setup,3488,1449,5903.225475482987
time-step,2131,494,5899.741524810619
fashion,3214,1256,5898.91161473648
rank1,1706,248,5898.731609519485
integral,2530,768,5888.012595128575
reward,1609,203,5885.499088641696
loop,2529,770,5879.107940503546
feature-representation,2997,1107,5879.090542552287
vertical,3385,1387,5876.9321273424175
european-conference,4168,1925,5870.153648298534
arabic,1386,114,5869.528420607905
competition,2458,724,5865.466521919385
factorization,2161,522,5863.657077685663
slam,1594,199,5862.35360672811
assignment,2486,745,5861.200485796389
observer,2123,498,5860.472208904887
directional,2367,663,5856.65022570892
augmented,2978,1104,5849.900447023455
recognition-accuracy,2225,569,5845.491085247813
file,2598,830,5844.569235171876
bm3d,1568,191,5831.069008754801
fourier,2486,755,5828.053328054899
auxiliary,2553,804,5824.588236869123
evolution,2876,1039,5824.053715392111
unseen,2506,772,5819.139719100526
summary,4178,1958,5813.221636150745
riemannian,1682,249,5808.979660093736
fake,1850,341,5807.4921786798595
stop,3555,1540,5800.088237518294
sequential,3121,1228,5798.58495500803
upper,3620,1588,5795.0292048685305
cnn-feature,2480,763,5787.847330470127
image-pair,2361,680,5782.029126366733
zsl,1056,33,5781.135230392483
fold,2641,882,5780.819885777512
deeper,3767,1701,5771.405053148569
monocular,2038,467,5756.816413006785
classical,3600,1597,5742.667045861477
magnetic-resonance,2315,659,5741.996138291482
drop,3956,1847,5735.208857955952
interactive,2860,1060,5734.423699650293
morphological,2565,842,5733.512243816241
nonconvex,2220,595,5733.16339367394
realistic,3253,1354,5726.089949050354
minibatch,2704,948,5723.591780233991
girshick,3634,1632,5718.1204522580065
pupil,1352,115,5713.734939618671
occluded,2334,681,5712.476979447734
exact,3756,1722,5708.4655310640155
understanding,3964,1865,5708.362586777143
total-variation,2108,525,5707.766623304101
class-label,2977,1158,5705.771132843666
overfitting,3814,1775,5680.997764241293
state-art,3301,1410,5676.803825142949
spoof,1103,46,5672.095924594023
rotate,2934,1139,5671.895768485918
unlabeled,2186,589,5667.5137836059785
vqa,1220,76,5661.207600103825
empirical,3564,1608,5660.776004771686
object-class,2383,733,5657.055498902678
adjacent,3157,1313,5654.179310903279
weighting,2937,1149,5652.0220125143505
comp,1849,372,5643.468957664585
visualize,3793,1778,5643.312724942702
fall,3335,1452,5637.384761563406
student,2820,1067,5635.660548553547
topology,2240,636,5635.546280878007
mathematical,4038,1951,5632.889256164054
feature-extract,3639,1676,5629.176951834132
central,3584,1637,5628.48155111766
top1,1740,310,5628.021545780041
layout,2154,579,5621.433726336689
underwater,1228,81,5620.08725282525
intersection,3066,1260,5617.52654531961
pixelwise,2685,973,5613.484812326235
coherence,2116,555,5611.842171669646
license-plate,1279,98,5609.82184891868
local-binary,2300,687,5609.086236972402
failure,2859,1107,5608.38166872105
affinity,1847,379,5602.932188550928
angular,2054,515,5601.0537051923975
root,2825,1085,5598.393388040021
ridge,1855,385,5598.063713744186
discover,2993,1213,5597.555080655601
scaling,3010,1227,5594.807382003745
alternate,2899,1144,5591.536892431011
clip,2028,501,5586.047592748571
hand-pose,1207,77,5585.105254372235
ear,1955,453,5581.867737401903
rpca,1278,100,5579.616689006829
membership,1814,364,5576.079217966963
query-image,1900,419,5573.073385738908
prototype,2003,488,5569.84632185652
body-part,1792,352,5568.525783536114
rigid,2329,722,5564.079516325643
ann,2080,543,5561.8328871001595
regularizer,2109,566,5551.886317355464
gaussian-noise,2611,939,5551.643866316711
theoretical,3228,1411,5548.9755356463
region-proposal,2268,684,5540.972393876434
yan,3839,1860,5538.66224490337
rgb-image,2509,866,5537.820968195663
highresolution,2715,1026,5532.204581298733
wild,2799,1092,5528.868289513843
ellipse,1553,224,5527.781413820057
cpu,3380,1537,5521.161369754008
tomography,2100,568,5520.786642022969
finetune,2655,990,5504.777425827169
mixed,2436,825,5494.846351640086
binary-code,1508,206,5493.932435073302
aesthetic,1258,100,5492.298743951949
picture,2938,1215,5489.85302772896
print,1974,488,5489.204512903031
middle,3713,1795,5488.954402687454
maxpooling,2461,848,5483.567722035798
interpretation,3020,1281,5483.326833242772
underlie,3620,1733,5478.718499439669
cognitive,2426,825,5472.289511116112
nonzero,2690,1030,5470.796531697617
zone,1753,348,5467.370273052699
heart,1874,426,5465.761045275135
categorization,2491,879,5460.975809747858
internal,3336,1533,5457.981427693879
calculation,3420,1597,5455.533693568403
library,3445,1617,5452.5378501889145
batch-normalization,2668,1020,5452.0834325866645
wrt,2313,746,5450.218672516024
reflection,2060,559,5448.5310090886005
