word,tf,df,tfidf
month,2251,615,5552.277440812784
regular,3294,1345,5547.27907860646
generic,3447,1450,5545.830166231267
high-dimensional,3257,1324,5536.222983558431
euclidean,2841,1033,5534.218005034826
white,3154,1255,5529.952418730341
resp,1900,395,5527.7063024524105
inductive,2171,569,5523.72835344059
seconds,3008,1156,5521.135337245881
corr,2617,879,5520.352071355685
deep-reinforcement,1799,338,5514.220997773635
exp-exp,2516,810,5512.985289451962
arg,2325,678,5508.058881671508
principal,2298,664,5492.042415106797
quantization,1826,359,5486.915413897274
editor,3325,1393,5482.891409770096
robotic,2167,580,5472.058056070846
life,2951,1137,5465.418370605939
recommend,2834,1054,5463.547141430428
dqn,1371,135,5460.597157525749
read,3045,1207,5457.588975338561
histogram,2271,657,5451.582857095806
false-positive,2343,708,5449.257502294732
adaboost,1616,249,5447.135191584349
vari,2913,1123,5431.130955395395
smoothness,2254,655,5417.645959137763
rrb,1580,235,5417.218584551164
genetic-algorithm,2124,566,5415.373324866908
storage,2586,893,5414.096899436062
zhu,3373,1456,5412.844155821674
compact,3039,1221,5411.788588529383
maximum-likelihood,2689,971,5404.563026107183
arc,1742,326,5402.477647733845
fisher,2282,680,5399.467751236074
conv,1552,224,5395.619288019173
intrinsic,2565,885,5393.213185836794
proximity,2022,504,5389.901036041749
linear-model,2591,906,5387.117979982604
learning-model,2741,1016,5384.903482930788
date,3265,1393,5383.952015909583
wij,1703,307,5383.791181946907
miss-datum,1913,435,5380.998961620806
square-error,3074,1262,5372.5891203597785
clean,2066,538,5372.31547913183
separable,2245,662,5372.148763337943
forget,1984,484,5368.942010040967
minute,2643,952,5364.338088302045
randomize,2417,789,5359.548976822311
friedman,2741,1027,5355.386800244039
cross,3135,1313,5355.003216072229
vote,2010,506,5349.95308635679
null,2173,618,5349.309767616202
gamma,1958,472,5347.740284532417
band,2000,500,5347.193546065662
select-feature,1842,398,5345.028779486217
feature-extraction,2520,869,5344.57160039787
kxk,1695,310,5342.017212889033
aij,1733,335,5327.370830578714
algorithmic,3091,1293,5327.290566883664
acc,1743,341,5327.169933040935
adam,2709,1016,5322.037043144657
big-datum,2477,846,5319.817012849476
researcher,3797,1785,5319.715379985152
travel,1952,477,5310.7837188661615
impose,3664,1701,5309.990734472764
high-probability,2446,827,5308.7988315510365
propositional,1501,212,5300.959513771298
send,2598,942,5300.438552690758
generative,2395,793,5298.654051319319
rbf,1676,307,5298.4345396024755
maximization,2709,1025,5298.14565850173
papers,3323,1472,5296.289022308286
number-sample,2892,1161,5295.737537177623
grade,1701,323,5291.049884543255
datum-stream,1724,337,5289.4422264609875
conceptual,2091,579,5283.752905607319
intensity,2022,533,5276.779930418718
prediction-accuracy,2181,645,5275.739883711824
enhance,3553,1642,5274.551367865732
spatiotemporal,1852,420,5274.403696648931
similarity-measure,2013,528,5272.265587138256
biological,2690,1024,5263.611947151482
completion,2054,561,5255.126066024998
payoff,1369,156,5254.69959509731
recursive,2669,1012,5253.9826066707155
asymptotically,2242,696,5252.681383332391
decision-make,2615,973,5250.45136393848
test-error,1648,300,5247.928109924458
correction,2216,679,5246.56557647426
propose-approach,3136,1360,5246.417903585365
supervise,2946,1221,5246.176104576361
tail,2348,776,5245.554920786195
prasp,640,2,5244.836922172849
molecule,1460,200,5241.235757164199
motor,1656,306,5240.610338296375
public,2647,1001,5239.604393894056
quantify,3418,1565,5238.302960667268
multitask-learning,1764,372,5237.8646343088285
subsequence,1684,324,5232.964922935975
virtual,2046,565,5220.121721071358
feature-set,2007,538,5218.8950467655295
usage,2803,1127,5216.075671834935
multilabel-classification,1385,168,5213.473635491692
upper-bound,2352,790,5212.436369937783
green,3067,1326,5208.633043075161
preprocessing,3007,1282,5208.208899561042
mutation,1710,345,5206.369377064463
graphical,2739,1085,5201.003849410987
private,1764,380,5200.331303447819
metric-learning,1334,147,5199.628227758166
prediction-model,2187,673,5197.317017939115
incomplete,2690,1050,5196.16386213629
uci,2276,739,5195.896219353524
identical,3710,1786,5195.747818168926
voting,1799,404,5193.335198295476
mark,3649,1746,5192.9726708174285
meaning,3028,1305,5190.738558542236
physics,2640,1022,5170.936585825224
trained,2904,1225,5161.885405574871
input-datum,2910,1232,5155.969216622132
fluent,1051,54,5149.081086960176
hit,1765,392,5148.404450887949
precision-recall,1984,541,5148.054615735345
propose-model,2516,938,5143.848584881175
matrix-factorization,1942,513,5142.27816904402
triplet,1539,257,5138.919202515536
computer-vision,3156,1423,5136.965254740477
significance,2767,1132,5136.834816318472
sensitive,3288,1520,5134.998679037135
sigmoid,2503,932,5133.332758093887
style,2020,573,5125.384692575371
imbalanced,1743,385,5115.637959282497
dbn,1317,149,5115.568530776095
special-case,3367,1589,5108.899621459937
negation,1606,301,5108.837938370072
feedforward,2427,884,5105.795931999779
status,2288,778,5105.6224585689315
dist,1520,253,5099.319381745804
hidden-state,1689,354,5098.935541604588
competition,2113,649,5098.18756298872
historical,2221,730,5097.551109171252
utterance,1429,205,5094.663501120442
acquisition,2199,715,5092.713200945472
tune,3294,1545,5090.632196913744
speedup,1829,449,5086.781848210653
jth,2951,1293,5086.00273790802
frequent,2230,742,5081.848051081442
differentiable,2431,896,5081.432898565104
ordinal,1500,245,5080.419991365443
exploitation,1901,501,5078.70926247367
interactive,2162,692,5077.714096040358
highlight,3659,1809,5077.504237592543
computable,1655,338,5072.838105233666
knowledge-graph,1219,113,5072.0359872933295
churn,1061,61,5068.748198725896
gene-expression,1796,431,5068.485819306889
locally,2720,1125,5066.453034540886
smallest,3375,1615,5066.261895819146
social-network,2064,623,5064.350839905863
chess,1323,158,5061.281816240317
fitting,2798,1188,5059.283083547746
number-iteration,2618,1052,5052.102459815988
strongly,2928,1292,5048.627971865328
argmin,1963,555,5043.411755381958
sun,3311,1580,5042.734932132007
rewrite,3154,1466,5039.814413332575
clique,1374,185,5039.624589721582
jointly,2849,1236,5038.653746063114
central,3290,1568,5035.834126091962
interpretable,2111,667,5035.610696713671
nonstationary,1793,439,5027.043886875073
confidence-interval,1891,509,5022.036212624409
kernel-function,2027,612,5009.674937786846
care,2543,1013,5003.437352805721
multimodal,1973,574,5002.6904124422545
guide,3320,1606,5002.253883468407
bic,1362,186,4988.268065324361
fraud,1391,201,4986.595849083762
implicit,2570,1043,4981.5554302874225
mtl,1063,67,4978.573523944092
demonstration,1879,513,4975.458640388111
reliability,2131,702,4974.33249709165
ensemble-size,1048,63,4972.833512026537
versus,3172,1511,4972.674327926202
possibility,3554,1789,4971.309568361162
subproblem,1749,423,4968.616379022895
unlabeled-datum,1660,364,4965.144666338348
aggregator,930,35,4959.556833268016
datadriven,2263,810,4958.619121633462
principal-eigenaxis,605,2,4958.009902991521
proceedings-acm,2760,1205,4951.357270463537
restricted,3097,1467,4946.62159898739
modification,3303,1621,4945.933173123001
chapter,2306,849,4944.399949941315
model-train,2659,1130,4941.038780971624
euclidean-distance,2395,921,4940.273880303319
interact,2574,1064,4937.998154798536
kernel-matrix,1609,337,4936.608203234181
regression-model,2144,725,4935.559216391145
happen,3524,1787,4933.287619585675
finding,3422,1714,4933.222860801352
blackbox,1730,419,4931.077736151891
classification-problem,2657,1133,4930.277681904582
feature-map,1735,423,4928.844721329172
som,1122,90,4923.779415661978
quantifier,1130,93,4921.834077480996
mknf,656,4,4921.253294779846
drop,3261,1603,4919.455636155077
partitioning,2017,635,4910.547602958221
primary,2817,1268,4910.0556106017675
refinement,1818,487,4908.492280541082
million,2666,1150,4907.27327516054
song,2425,959,4904.110956686092
time-complexity,1995,621,4901.4632100954805
array,2243,815,4900.99258867436
regularization-parameter,2137,733,4895.993445367609
min-max,2233,809,4895.642496167453
rkhs,1354,195,4894.987993654788
ridge,1458,253,4891.320828016698
membership-function,1392,216,4889.993637569034
endtoend,1943,585,4889.740246065611
derivation,2684,1172,4889.544527137686
feed,3092,1491,4888.459905286359
technical,3409,1728,4886.750099408293
accelerate,2534,1054,4885.189998724314
fairness,1285,162,4883.78196904609
michael,2778,1251,4879.5746708249735
hypergraph,1109,89,4879.121468410677
implication,2592,1107,4869.839073230632
school,3419,1744,4869.573204825469
nearest,2196,789,4869.495057137689
modelbased,2076,695,4866.752321748118
substitute,2874,1333,4865.732442368127
gaussian-distribution,2597,1113,4865.195180906103
mri,1394,221,4865.118784892554
hide,2927,1377,4860.407524970078
dot,2620,1134,4859.309774378392
opponent,1311,178,4859.118352044611
kth,2646,1155,4858.980111528695
variable-selection,1805,493,4851.29073382926
mle,1439,249,4850.512092011063
roc-curve,1756,458,4848.90546697051
visualize,2512,1052,4847.548273131307
costsensitive,1301,175,4844.167985688493
connectivity,1889,558,4843.104922240241
case-study,2429,987,4842.296106980323
tile,1176,118,4842.203810459485
recording,1741,449,4842.03783364393
aaai,2953,1406,4842.03645969627
chemical,1814,503,4839.053068258484
verification,1928,589,4838.8533100850245
test-datum,2411,975,4835.90520250225
compress,1939,599,4833.817007005432
found,1465,268,4830.424210233203
discount,1761,467,4828.442955877366
thing,2487,1040,4827.836222867855
oneclass,1274,164,4826.343177185669
fixed,3350,1716,4825.519531213836
validation-set,2104,732,4823.2608481667685
bank,1634,379,4821.392600852822
post,2286,880,4819.534855664613
zhao,2749,1257,4815.482851215267
utility-function,1322,190,4813.641016667377
medicine,2312,905,4809.584072969782
des,1621,374,4804.561449019635
calibration,1524,310,4803.088042739166
score-function,1468,275,4802.464779921446
output-layer,2248,856,4801.5807454642545
voice,1556,333,4792.5770655744445
partially,3353,1736,4790.98761831504
reconstruct,2277,885,4787.659424620031
hutter,1377,224,4787.2214945891765
issn,1635,388,4785.97123454491
format,2554,1113,4784.639388538386
source-domain,1135,107,4784.451801987187
dictionary-learning,1304,185,4782.875156475214
decision-boundary,1593,360,4782.346638127753
gender,1697,433,4781.241742438948
backpropagation,2201,826,4779.713825552832
automate,2451,1031,4779.2548696106915
generative-adversarial,1544,328,4778.975310181437
pipeline,1767,487,4770.795302374088
existence,2829,1342,4770.5103190492855
man,3395,1778,4769.840746019081
bootstrap,1717,451,4767.658342362175
modality,1516,313,4763.2745482669425
adjust,3219,1650,4763.071586379915
retrieve,2217,846,4761.418779768788
tuple,2048,709,4760.267458402089
denoising,1746,475,4757.658057715986
cascade,1492,299,4756.1398567119895
critic,1239,156,4755.714242750597
label-datum,2010,681,4752.931556264076
urban,1587,363,4751.1638330208025
reduct,1063,83,4750.934212268905
cross-validation,2481,1070,4745.634332061694
linearly,2980,1474,4745.560000143107
possibly,3380,1781,4743.068107998919
conditional-probability,2049,717,4739.601384222719
momentum,1651,411,4737.72884563896
convolutional-layer,1765,496,4733.0750874486175
respective,2865,1390,4730.532846871267
scalar,2595,1172,4727.409853920378
plane,1888,594,4722.502642350409
lowdimensional,2060,732,4722.394176437045
primitive,1583,367,4721.840506042916
informative,2412,1025,4717.285835476624
redundancy,1735,478,4716.7608311017875
eds,2254,894,4716.492963018521
vocabulary,1777,510,4715.792196974029
piece,2023,705,4713.604299864291
opt,1670,431,4712.9016248566295
essentially,3202,1663,4712.788108023227
double,2278,916,4711.333418446873
weight-matrix,1875,589,4705.835039631442
basis-function,1905,614,4701.939942001512
threat,1424,267,4700.561647389997
binary-classification,2185,843,4700.45484089517
big,2559,1155,4699.21772690927
variational-inference,1486,307,4697.776686067588
worse,3298,1744,4697.236744520151
std,1551,351,4695.526323031182
visible,1863,584,4691.60014451172
sampler,1381,244,4683.021608349474
variable-collection,731,12,4680.811000038593
stand,3044,1557,4680.724401646397
buffer,1319,209,4677.0033471075885
inconsistency,1496,318,4676.725619057569
scientific,3208,1687,4675.652906820245
dominate,2528,1140,4675.337122408065
cifar10,1278,187,4673.769013379358
convert,3017,1540,4672.328870134848
kx1i,570,2,4671.182883810194
recognize,2730,1310,4669.453302859323
streaming,1611,400,4666.648662523083
seek,3054,1575,4660.997453876413
multilayer,2230,899,4653.835696472987
template,1543,355,4653.822367494533
expensive,3270,1746,4653.609381631403
replay,1296,200,4652.4942063594535
execution-time,1494,322,4651.798068910458
room,1814,560,4644.326311134651
symptom,1362,240,4641.104821329948
ten,3082,1608,4639.822855729054
twitter,1351,234,4637.825954487481
lower-bound,1933,658,4637.266884270721
quantitative,2463,1103,4636.390243972344
pressure,1621,415,4635.94061533463
august,2171,857,4634.579054653074
thresholding,1738,504,4632.862512680791
fourier,1681,462,4627.18780700749
paradigm,2506,1144,4625.87226098529
convexity,1869,611,4622.238688057725
univariate,1749,516,4621.029587347581
understanding,3086,1622,4619.092819102044
adjacency-matrix,1527,352,4618.524033573525
decompose,2724,1330,4617.917251251644
uncertain,2000,722,4612.359465124393
grammar,1314,217,4609.916078539736
copula,993,70,4607.231661999824
distance-measure,1703,485,4605.00733482137
distortion,1569,386,4600.884610622611
closed,2433,1095,4597.628492654357
successful,3103,1647,4597.076320383717
signature,1601,412,4590.357616890899
prediction-error,1824,585,4590.265676183055
exercise,1500,341,4584.483591257259
motivation,2921,1509,4583.056047459234
fake,1187,153,4579.169369724291
validate,3000,1575,4578.582960585867
python,2202,907,4575.893451790428
discrimination,1707,497,4574.102541026778
proportional,2717,1346,4573.5596855172
acceleration,1688,483,4571.421711650535
redundant,2063,791,4569.352942307041
real-datum,2193,902,4569.313640603531
diverse,2504,1169,4568.049478597317
reliable,2573,1228,4567.236488550436
half,2768,1392,4566.391828591901
piecewise,1678,477,4565.315102590891
training-time,1961,708,4560.8168851899145
consumption,1662,466,4560.559972441424
mkl,954,61,4557.573780946753
supervised-learning,2474,1149,4556.0134865819045
input-output,2516,1185,4555.738353800651
follow-lemma,2213,925,4555.263839414968
multiplier,1849,617,4554.707982119275
blood,1448,312,4554.252037918743
learning-method,2579,1240,4552.8072509554695
google,1907,666,4551.847288144206
learn-model,2469,1147,4551.107093430034
wide,3176,1734,4541.739436027765
statistically,2346,1048,4536.145851422686
capable,2902,1518,4535.988260975396
kdd,2015,763,4535.657882943689
batch-size,1866,638,4534.131053413694
ica,1206,169,4532.517224777531
consumer,1445,315,4530.988576149468
scalability,2099,837,4530.441301226684
comparable,3184,1749,4525.754782253563
conditioning,1725,526,4524.508811287365
stable-model,1056,100,4522.884627853079
mape,995,77,4521.677452353332
real-world,2756,1405,4520.976270377858
number-feature,2030,782,4519.490765746715
precisely,2927,1548,4517.78298725276
neighbour,1542,387,4517.721035131722
chord,904,49,4516.731654303334
connected,2150,887,4515.773761662703
instruction,1470,336,4514.507755892972
random-projection,1254,198,4514.322052313651
descriptor,1444,318,4514.165637646477
agreement,2047,799,4513.315515884867
backward,1808,597,4513.288266576857
deep-network,2006,765,4510.148049482744
subsequence-match,662,8,4507.401324311173
assume-occurrence,684,10,4504.563928467308
distance-metric,1574,415,4501.524076827087
automata,1265,207,4497.689888909912
worst,2514,1211,4497.553863545453
satisfied,2463,1167,4497.470608071933
flexible,2764,1425,4495.031780471279
expand,2668,1346,4491.0773798159325
phenomenon,2662,1344,4484.935870690071
composite,1685,506,4484.9109206523335
july,2493,1201,4480.656558091972
inside,2552,1252,4480.565080116786
describe-section,3010,1638,4475.790557196444
tracking,1700,521,4475.173210492814
comput,2470,1184,4474.531108347346
generalization-error,1444,327,4473.865347605419
simulate,2504,1215,4471.406611263656
bar,1950,732,4470.227497112736
tanh,1726,544,4469.055208058012
bregman,1236,195,4468.393766733617
weight-vector,1766,579,4462.50962759566
specificity,1576,427,4462.319272564803
phd,2843,1509,4460.673859269635
clustering-method,1571,424,4459.238594886435
optimisation,1542,402,4459.082791133114
combinatorial,1971,755,4457.391117868022
computation-time,1839,642,4457.0308681199485
gcn,853,39,4456.620671202546
prefer,2563,1275,4453.221249729578
network-architecture,2092,865,4446.4944625824155
artificial-neural,2245,1000,4446.109335101628
relax,2336,1082,4442.227330545519
exponential-family,1341,265,4436.665035973661
conference-artificial,2922,1590,4431.842913775458
training-dataset,2076,857,4431.776194131636
solve-problem,3011,1663,4431.669267101167
collision,1213,188,4429.588408162213
fully-connect,1908,711,4429.4838986715995
house,1515,390,4426.9180704819655
purchase,1334,263,4423.6118195958625
hospital,1403,310,4421.74050128809
newton,1472,360,4419.092436487164
remote,1711,548,4417.681519091489
competitive,2451,1195,4417.445650776148
kim,2394,1145,4417.037623387238
multiobjective,1353,277,4416.445505207176
behavioral,1705,544,4414.680839941431
diabetes,1320,256,4412.796203607607
continue,3112,1755,4412.756049047335
tensorflow,1619,475,4411.597019153598
computational-cost,2401,1155,4409.074545646407
illustration,2787,1492,4404.3855367566985
conversion,1521,401,4402.1442785497975
acquire,2278,1050,4400.320177675267
canonical,1753,590,4396.668332475366
data-analysis,2731,1450,4393.867764426339
progress,2617,1352,4393.58869706798
arg-max,1964,775,4390.211377887691
reverse,1968,779,4389.0214487498515
disjoint,2080,880,4385.228565084162
itemset,942,69,4384.160661580013
longterm,1930,748,4382.647654417452
home,1541,422,4381.370517982696
extra,2612,1354,4381.333323771079
repository,2305,1083,4381.147209366543
publish,2619,1361,4379.570026396515
grasp,1233,208,4377.972154232318
confirm,2847,1558,4375.971798384265
perceptron,1850,681,4374.588745815194
emerge,2756,1482,4373.929272790818
daily,1806,644,4371.434098503308
metafeature,832,38,4368.514768158226
potentially,3078,1753,4368.054396551
hyperedge,844,41,4367.390087209604
applicable,3055,1736,4365.1855573970915
coordinate-descent,1394,317,4362.2485180233725
tibshirani,2129,934,4361.742834338537
week,1654,519,4360.441834630227
gru,1169,174,4359.375849949137
icml,2363,1146,4357.778374988138
dec,2636,1389,4354.317533654989
wasserstein,1095,136,4353.227234362273
portfolio,1147,164,4345.224194844555
heat,1326,274,4342.751790478779
input-space,1771,625,4339.7526556636785
contribute,3087,1777,4338.849634668246
middle,2374,1166,4336.990577788844
convex-optimization,1945,781,4332.73980854183
gaussian-kernel,1653,528,4329.3864955487015
irrelevant,1985,819,4327.5397633898765
constraint-slot,528,2,4326.9904607926
augmented,1753,614,4326.772030618714
title,1454,370,4325.2165128975585
protocol,1766,627,4321.858212231832
observable,1709,578,4321.430383755541
decisionmaking,1638,518,4321.420132622294
prefix,1263,237,4319.6427943940225
calculus,1515,419,4318.255936572321
scope,2428,1224,4317.7740915533195
intermediate,2278,1089,4317.2422471332575
synthesis,1723,592,4315.595061611862
differential,1654,534,4313.3161397464455
bus,1267,241,4312.117857400854
hilbert-space,1580,473,4311.992983081682
sphere,1496,406,4311.250160932522
regressor,1294,259,4310.801591823597
network-structure,1721,592,4310.58566513872
outline,2583,1366,4309.8977933106335
ham,1367,310,4308.28172862496
normal-distribution,2124,955,4304.272259789397
pure,2005,847,4303.740874489951
align,1966,812,4302.993108522715
contradiction,1678,558,4302.133435425688
bot,1164,180,4301.268695937441
vec,1708,584,4301.263041774567
mind,2084,921,4298.760236556207
amplitude,1491,406,4296.840902373255
hierarchical-clustering,1339,293,4295.555199404422
conjugate,1661,547,4291.618830663881
bad,2030,875,4291.381399747739
syst,1777,648,4290.236289157583
ctr,970,87,4289.627850216426
bel,1292,262,4289.259595060552
molecular,1570,472,4288.024640815063
rotation,1584,484,4286.494024145611
discriminant,1443,372,4284.715797793447
cognition,1484,404,4283.996350344906
january,1876,739,4282.733439150796
switch,1938,797,4277.8446733843975
cart,1238,229,4276.649790461169
positive-negative,2084,931,4276.254618266859
operate,2644,1438,4275.867104912137
complete-proof,1754,633,4275.7862240912245
multinomial,1551,461,4272.705390938939
argue,2523,1333,4271.48328187014
comprise,2485,1299,4271.354314139291
multiplication,2020,876,4267.934336647635
datum-sample,1953,815,4267.337728792254
alphabet,1321,287,4265.142628173625
replacement,1818,694,4264.542432103861
augmentation,1446,380,4262.856612690219
vision,2356,1188,4260.068243330411
inconsistent,1539,456,4256.430863326639
semantic-web,1187,201,4255.276256550988
smoothing,1628,531,4254.6849601469
weather,1452,387,4254.04081907345
synthetic-datum,1762,649,4251.304536671143
defender,829,43,4250.286942526251
exchange,1838,719,4246.411378243048
pearl,1279,262,4246.101410280531
lagrangian,1513,439,4242.006358528715
ari,1028,117,4241.55980288367
subjective,1548,469,4237.8080554575345
localization,1487,420,4234.901888184104
successfully,3043,1802,4234.494054491548
svr,1061,134,4233.777340865862
submit,2445,1283,4232.902599222299
differential-equation,1305,283,4231.799155824379
wellknown,2994,1764,4230.119710855528
story,1311,288,4228.295397019309
geodesic,1126,170,4225.20964513976
guess,1778,674,4222.705124244948
games,1404,360,4214.949579366833
defense,1384,345,4213.810068922349
opinion,1739,643,4211.962596011064
eliminate,2459,1309,4207.806633535456
gaussian-mixture,1592,516,4206.220184709748
bid,951,87,4205.604211913218
confusion-matrix,1333,309,4205.43317154485
suboptimal,1932,823,4202.580431943004
rational,1508,447,4200.754585476912
safe,1457,406,4198.857944170243
industrial,2106,987,4198.384356237365
june,2394,1255,4197.4337636145965
terminate,1850,750,4196.043580110632
terminal,1423,380,4195.051839459324
algebraic,1577,507,4194.337229621275
policy-gradient,1153,191,4192.2289542498775
monitor,1922,819,4190.192153770954
enforce,2185,1065,4189.682423385621
hardware,1715,631,4186.141800287183
latent-space,1339,318,4185.919521335619
minc,776,33,4183.957112551108
priority,1480,429,4183.586969739968
breast-cancer,1311,298,4183.54702566895
asynchronous,1338,319,4178.592422480699
challenging,2938,1748,4177.769352173774
problem-solve,2431,1301,4174.796151243259
random-vector,1660,586,4174.709235917497
trip,1043,133,4169.763540192299
require-variable,750,28,4167.000270959864
meta,1449,409,4165.1355976323075
stay,1951,857,4164.930325024481
shared,1864,776,4164.273582770642
naturally,2907,1730,4163.778030781016
reader,2525,1393,4163.699491629923
attain,2023,926,4161.97987826429
discretization,1414,382,4161.096947667705
biomedical,1787,707,4158.66030533295
nominal,1367,346,4158.094253775106
ucb,1040,133,4157.769972962599
perturb,1498,452,4156.234992050941
competence,977,103,4155.645937911203
electrical,2414,1296,4154.897124826325
driver,1310,304,4154.24209276393
categorization,1616,555,4151.886600457078
sufficiently,2396,1281,4151.809332661658
environmental,1710,641,4147.049958853743
meaningful,2499,1379,4146.06839316064
laplace,1346,336,4133.692135667988
bring,2702,1571,4130.648004104783
tpr,1056,145,4130.513512260377
cosine,1553,508,4127.444477280268
expected,1775,709,4125.720087238138
symmetry,1679,622,4122.3895634639
air,1478,446,4120.495388924869
stimulus,1244,264,4120.446175776031
shallow,1452,425,4118.040000074439
curvature,1192,229,4117.743578537733
universe,1307,311,4114.974430773455
extended,1883,816,4112.077542552393
max-min,1704,649,4111.363751695589
local-search,1200,236,4109.247679715295
probe,1256,275,4108.920819878294
operational,1730,674,4108.706335738898
variability,1843,780,4107.882884114663
poor,2653,1541,4106.891849865908
undirected,1653,605,4104.360011390171
han,2118,1044,4103.392238180345
probability-density,1741,687,4101.5706784440845
cpu,1980,914,4099.341114001728
annals-statistics,1960,895,4099.107060233127
transmission,1455,434,4096.058290850969
affine,1380,373,4093.9445034994656
reinforcement-learn,1507,479,4093.77194098447
unbiased,1754,704,4089.3221078309034
sensory,1285,301,4087.706569617399
crossover,1162,215,4087.412671946392
safety,1448,431,4086.396139396646
suffer,2667,1567,4083.9414398070376
lowest,2363,1287,4083.5845736985707
iris,1167,219,4083.488376292155
unsupervised-learning,1842,790,4082.1886876808658
characterization,1892,838,4081.3973706808015
crowd,1237,268,4078.658531097933
res,1927,874,4075.8449034056116
datum-matrix,1467,451,4073.4739593740887
industry,1777,733,4071.2121443229953
multidimensional,1887,838,4070.611436825937
epistemic,974,111,4070.029128718978
logit,1149,210,4068.7208445074493
september,1841,795,4068.357335270072
gpu,1576,549,4066.2477335940953
conditional-independence,1304,321,4064.2599278158086
plant,1363,368,4061.906195068943
regret-bind,1051,152,4061.404892489792
spline,1233,269,4060.877475454975
net-work,2194,1140,4057.6303981658602
end-end,2062,1013,4057.0538031794717
communications,2194,1141,4055.706680374926
separately,2857,1753,4054.428658527032
probability-measure,1429,425,4052.8093389162354
medium,1630,604,4049.9479978379386
outer,1526,510,4049.6898663941297
dim,1261,292,4049.6397982444805
chromosome,995,124,4047.5836893207356
london,2092,1047,4047.0172219427436
rand,1263,295,4043.152877590501
internet,1892,857,4038.9790748059036
user-item,1050,155,4037.018742262565
compressive,1269,301,4036.8090559101006
priori,2072,1033,4036.2195376389154
rmin,780,41,4036.2135877055575
stateaction,1177,235,4035.484983554886
collaborative,1586,569,4035.2985576033047
outlier-detection,1175,234,4033.6384134143523
pos,1682,659,4032.5636087541307
october,1874,844,4029.1981542338885
perfect,2060,1026,4026.850602192074
height,1497,492,4026.5200539791836
simulator,1260,297,4025.035643141927
bridge,1871,843,4024.9661360708756
teaching,1198,252,4023.8133891644316
speech-signal,1857,831,4021.4729172454095
subsequent,2550,1497,4021.315541940255
fashion,2329,1289,4021.21150077338
chance,2053,1022,4021.1866707193885
master,1678,660,4020.429331137177
timestep,1246,288,4018.6545115835697
differential-privacy,846,63,4014.3293427237127
translate,2223,1191,4013.9739595676824
logarithmic,1719,702,4012.6126525108148
nips,1800,781,4009.733498907606
pso,916,91,4009.6483542833657
empirical-risk,1348,371,4006.259786326548
extremely,2439,1402,4006.178971615728
solid,1913,893,4005.0917898767157
word-embedding,1189,251,3998.3120475323312
spectrogram,1043,157,3996.7333059493035
tensor-decomposition,1043,157,3996.7333059493035
positive-definite,1561,562,3991.0134166572384
bayesian-optimization,1055,165,3990.2836644199365
interpolation,1502,509,3988.946796066559
optimizer,1766,758,3986.782943945142
superior,2382,1360,3985.0023744707714
hastie,1836,827,3984.854723927924
proceedings-ieee,2437,1413,3983.8479491336966
ture,2432,1409,3982.5686824410245
nystrm,905,89,3981.6094940592093
crime,1007,139,3981.407054892601
arrival,1202,264,3981.331433507065
andor,2531,1503,3981.2287851878837
variable-variable,1168,240,3980.03702739602
math,2043,1033,3979.7280479711894
dom,1669,668,3978.7569688257713
link-prediction,1031,153,3977.3577255145274
diagnostic,1472,486,3977.3384764002662
iteratively,2392,1374,3977.234369625165
digital,2245,1233,3975.8935818125724
tie,2212,1201,3975.616649217586
genre,1121,209,3974.9209644485272
submodular,872,76,3974.1151751790994
crucial,2734,1695,3971.8645723850505
arrive,1976,971,3971.5197246514663
nonlinearity,1670,672,3971.1707066562276
comp,1305,346,3969.504755798474
biology,1992,988,3969.1041700246524
empirically,2467,1451,3967.4210580142494
admissible,1218,279,3967.0175831737943
intuitively,2458,1443,3966.536818570271
personal,2110,1106,3966.1663445764866
discrepancy,1538,550,3965.404780385442
discuss-section,2454,1440,3965.1890991837317
joint-distribution,1637,643,3964.912460994889
chunk,1095,194,3964.2796500689055
facilitate,2415,1404,3963.315152789278
collaborative-filter,1286,333,3960.9602225763083
quickly,2464,1452,3960.8989138371726
promising,2555,1538,3960.164973150002
transition-probability,1313,355,3960.122338639224
great,2756,1724,3957.071470157695
overcome,2815,1777,3956.5473668905447
classification-performance,1639,649,3954.5335616367784
matlab,1985,989,3953.1484215671358
update-rule,1455,479,3952.513718734176
graph-laplacian,1132,221,3950.727736368989
omit,2455,1450,3949.815218479188
precise,2273,1276,3947.5632133618033
systems-page,1774,783,3947.2780392735253
sgn,1107,205,3946.670745794492
dash,1915,923,3946.0023447634067
secondorder,1458,484,3945.5229085885735
estimation-error,1350,391,3941.321370484037
worth,2442,1443,3940.7172135673727
revision,1129,221,3940.257609859177
med,1223,289,3940.234718227988
restrict,2525,1522,3940.071440909313
fan,1731,744,3940.0396011925623
thread,1196,269,3939.0182162564074
beginning,2239,1249,3936.4001430166268
healthcare,1385,423,3934.5532789861118
ant,1230,296,3933.3498630710837
slow,2151,1165,3931.4440152341813
err,1003,144,3930.1467465946594
accurately,2434,1444,3926.1212315734792
imbalance,1282,339,3925.7465075436016
flight,1073,187,3924.0642811862676
exclude,2182,1200,3923.5153738514273
discard,2050,1069,3923.138218881453
trading,1100,205,3921.714381548276
poi,788,50,3921.2313104291784
destination,1183,264,3918.3985739091995
book,1796,818,3917.6911925946865
discriminant-analysis,1344,393,3916.947228883263
multus,2424,1440,3916.7149048171823
